Date,2020,2021,2022,2023,2024,2025
1/1,4.25,1.5,0,0,6.25,2
1/2,2,1.5,0,0,6.25,2
1/3,2.25,1.5,0,0,6.25,2
1/4,2.25,1.5,0,0,6.25,2
1/5,2.25,1,0,0,6.25,2
1/6,1.75,1,0,0,6.25,2
1/7,1.75,1,0,0,6.25,2
1/8,2.5,1,0,0,4.5,2
1/9,2.5,1,0,0,4.5,2
1/10,0.25,1,0,0,4.5,2
1/11,0.25,1,0,0,4.75,2
1/12,0.25,1,0,0,6.75,2
1/13,0.25,0.75,0,0,6.75,2
1/14,0.25,0.75,0,0,6.75,2
1/15,-1,1,0,0,6.75,2
1/16,-0.5,1,0,0,6.75,2
1/17,-0.5,1,0,0,6.75,3.25
1/18,-0.5,1,0,1.25,6.75,3.25
1/19,-0.5,1,0,1.25,6.75,3.25
1/20,-0.5,1,0,1.25,6.75,3.25
1/21,-2,1,0,1.25,6.75,2
1/22,0,1,0,1.25,3.5,2
1/23,1,1,0,1.25,3.75,3.75
1/24,1,1,0,1.25,2.25,3.75
1/25,1,1,0,1.25,2.25,3.75
1/26,1,1,0,1.25,2.25,3.75
1/27,1,1,0,1.25,2.25,3.75
1/28,0.75,1,0,1.25,2.25,3.75
1/29,-0.5,1,0,1.25,2.25,3.75
1/30,-0.75,1,0,1.25,2.25,3.75
1/31,-1.75,1,0,1.25,2.25,3.75
2/1,-1.75,1,1,1.25,2.25,3.75
2/2,-1.75,0,1,1.25,2.25,3.75
2/3,-2.5,0,1,1.25,2.25,3.75
2/4,0.5,0,1,1.25,2.25,3.75
2/5,0.5,0,1,1.25,2.5,3.75
2/6,2,0,1,1.25,1,3.75
2/7,2.5,0,1,1.25,1,3.75
2/8,2.5,0,1,1.25,1,3.75
2/9,2.5,0,1,1.25,1,3.75
2/10,1.5,0,1,1.25,1,2.75
2/11,0,0,1,1.25,1,2.75
2/12,-0.25,0,1,1.25,3.75,0.75
2/13,-0.25,0,1,1.25,3.75,0.75
2/14,0.75,0,1,1.25,5,2
2/15,0.75,0,1,1.25,5,2
2/16,0.75,0,1,1.25,4.25,2
2/17,0.75,0,1,1.25,4.25,2
2/18,0.75,0,1,1.25,4.25,2
2/19,0.25,0,1,1.25,4.25,2
2/20,1.5,0,1,1.25,4.25,2
2/21,2.25,0,1,1.25,2,2
2/22,2.25,0,1,1.25,1.25,2
2/23,2.25,0,1,1.25,7.75,2
2/24,1.5,0,1,1.25,7.75,2
2/25,2.25,0,1,1.25,7.75,2
2/26,1.5,0,1,1.25,7.75,2.25
2/27,2.5,0,1,1.25,3,2
2/28,0.25,0,1,1.5,3,2
3/1,0.25,0,1,1.5,7.75,2
3/2,0.25,0,1,1.5,7.75,2
3/3,1.5,0,1,1.5,7.75,2
3/4,1.5,0,1,1.5,7,2
3/5,1.5,0,1,1.5,7.75,2
3/6,0.25,0,1,1.5,1.05,2
3/7,0.25,0,1,1.5,1.75,2
3/8,0.25,0,1,1.5,1.25,2
3/9,0.25,0,1,1.5,1.25,2
3/10,0.25,0,1,1.5,1.25,2
3/11,0.25,0,1,1.5,1.25,2
3/12,0,0,1,1.5,1.25,2
3/13,0,0,1,3,1.75,2
3/14,0,0,1,3,1.75,1.5
3/15,0,0,3.75,7.75,17,1.5
3/16,0,0,3.75,15,17,1.5
3/17,0,0,0,13,17,5.25
3/18,0,0,0,13,17,17.5
3/19,15,0,0,13,20.25,18.5
3/20,9,0,0,13,28.75,18
3/21,9,0,0,15,28.75,13.25
3/22,9,0,5.25,15,20.25,13.25
3/23,8.5,0,5.25,15,20.25,13.25
3/24,8.25,0,5.25,15,20.25,14.25
3/25,8,6,5.25,15,21.25,14.25
3/26,9.5,8,5.25,15,21.25,14.25
3/27,9.5,8,5.25,16.75,21.25,14
3/28,9.5,8,5.25,20.25,26.25,14.25
3/29,9.5,8,8.5,20.25,26.25,14.25
3/30,9.5,8,8.5,20.25,26.25,14.25
3/31,9.5,7,12.5,20.25,26.25,16.5
4/1,9.5,7,12.5,20.25,21.75,10
4/2,9.5,7,12.5,20.25,21.75,12
4/3,9.5,7,12.5,20.25,25.25,11.75
4/4,9.5,7,12.5,32.5,25.25,9
4/5,9.5,7,12.5,32.5,20,9
4/6,9.5,7,12.5,32.5,20,9
4/7,9.5,7.75,12.5,32.5,20,10
4/8,4.5,7.75,12.5,32.5,18.75,8
4/9,3.5,7.75,12.5,32.5,16,7.75
4/10,3.5,7.75,12.5,32.5,18,7.75
4/11,3.5,7.75,12.5,23.5,21.75,8.25
4/12,3.5,7.75,12.5,23.5,21.75,8.25
4/13,3.5,6.25,12.5,23.5,21.75,8.25
4/14,3.5,6.25,13.5,23.5,21.75,8.25
4/15,3.5,7.25,13.5,23.5,20.75,8.25
4/16,2.5,7.25,13.5,23.5,23.5,12.5
4/17,-4.5,7.25,13.5,23.5,26.25,12.5
4/18,-4.5,7.25,13.5,23.5,27,12.5
4/19,-4.5,4.5,13.5,23.5,27,12.5
4/20,4.5,6.25,13.5,35.5,27,12.5
4/21,10,6.25,13.5,40,27,13.5
4/22,7,6.25,14.25,40,27,10.25
4/23,7,7,14.25,40,27,9.5
4/24,7,7,14.25,40,24.25,10
4/25,7,7,16.75,40,23.25,10
4/26,7,8.65,17.25,40,23.25,10
4/27,7,8.65,19.25,40,23.25,10
4/28,9.75,8.25,19.25,41,23.25,6.25
4/29,15,8.25,19.25,41,23.25,7
4/30,14.75,7.15,19.25,41,19,12
5/1,25.25,7.15,19.25,37.5,21,13.75
5/2,25.25,7.15,19.25,37.5,24,18.75
5/3,25.25,8.15,19.25,37.75,21.25,18.75
5/4,23.25,8.4,24.75,36.25,21.25,18.75
5/5,23.25,8.65,25,30.25,21.25,17
5/6,22.75,10,26,30.25,22.75,16.75
5/7,23.5,11.5,26,30.25,22.75,17.75
5/8,23.25,11.5,26,22.75,22.75,18.75
5/9,23.25,11.5,25,20.75,22.75,14.75
5/10,23.25,12,24.5,26.5,17,14.75
5/11,18.5,12,25.5,26.5,17,14.75
5/12,16,11,21.5,25.75,17,20.75
5/13,14.25,11,25,25.75,21,19
5/14,13,10,25,25.75,21.75,17
5/15,13,10,25,25.75,28.75,20
5/16,13,10,25,27.75,20,13
5/17,13,11.5,25,36.75,25.75,13
5/18,13,10.5,25,35.25,25.75,13
5/19,16.5,9.75,31.5,36.25,25.75,12.5
5/20,16.5,11.5,24,36.25,38.5,13.75
5/21,16.5,14.5,24,36.25,108.5,17.5
5/22,16.5,14.5,24,36.25,51.5,30.25
5/23,16.5,14.5,27.5,34,35.25,27.25
5/24,16.5,12.75,30,34,21.75,27.25
5/25,16.5,14.1,31,24,21.75,27.25
5/26,14.75,15,31,22.5,21.75,27.25
5/27,14.75,14.5,45,22.5,21.75,23.25
5/28,14.75,14.75,45,22.5,28.75,23.25
5/29,14.75,14.75,45,22.5,23.75,23.75
5/30,14.75,14.75,45,23.75,16.75,26
5/31,14.75,14.75,45,25.75,23.75,26
6/1,14.75,19.25,45,25.75,23.75,26
6/2,14.75,19.25,45,32.5,23.75,29.25
6/3,10.25,23.25,45,32.5,27.5,35.25
6/4,11.75,23.25,45,32.5,21.5,35.25
6/5,9.75,23.25,45,32.5,21.5,37.5
6/6,9.75,23.25,45,35,17.75,28
6/7,9.75,11.75,27,43,23.75,28
6/8,8.75,20,27,53,23.75,28
6/9,9.95,21,27,57,23.75,26.25
6/10,9.5,23.5,27,57,22.5,26
6/11,10.5,23.15,27,57,19,23
6/12,12.5,23.15,27,57,23.5,19.25
6/13,12.5,23.15,20,56.5,21,20.25
6/14,12.5,24.5,20,35.25,31,20.25
6/15,10.25,20,20,40.75,31,20.25
6/16,7.5,13.25,20,41.5,31,10
6/17,9.25,10,9.25,41.5,32,9.75
6/18,8.75,7.75,9.25,41.5,26.25,
6/19,10.25,7.75,9.25,41.5,26.25,
6/20,10.25,7.75,9.25,33.25,22.5,
6/21,10.25,7.25,9.25,15,19.25,
6/22,9.75,8.5,30,16,19.25,
6/23,9.5,8.5,28,16,19.25,
6/24,8.75,9.25,28,16,23.5,
6/25,10,10.1,28,16,23.75,
6/26,8.5,10.1,28,27.5,23.75,
6/27,8.5,10.1,19.75,30.75,18,
6/28,8.5,10,19.75,23.75,19.25,
6/29,11,9.5,19.75,23.75,19.25,
6/30,11.25,9,19.75,25,19.25,
7/1,12.25,8.5,19.75,25,18.25,
7/2,13.5,8.75,19.75,25,21.5,
7/3,13.5,8.75,19.75,25,24.75,
7/4,13.5,8.75,19.75,25,24.75,
7/5,13.5,8.75,19.75,33,24.75,
7/6,12.5,8.35,19.75,29.75,24.75,
7/7,9.75,8,19.75,28.25,24.75,
7/8,8.25,6.75,31.25,28.25,25.75,
7/9,8.25,6.75,31.25,28.25,26.25,
7/10,10,6.75,31.25,24,28,
7/11,10,6.75,31.25,26,27.5,
7/12,10,6.75,31.75,36.75,32.75,
7/13,10.75,6.75,36,31,32.75,
7/14,10.75,6.75,32.75,31.75,32.75,
7/15,9.25,6.75,32.75,31.75,32.75,
7/16,12.75,7.25,32.75,31.75,25.25,
7/17,12.75,7.25,32.75,31.75,23.25,
7/18,12.75,7.25,32.75,22.25,29.75,
7/19,12.75,7.25,34.5,16.5,25,
7/20,13.5,8.5,34.5,15,25,
7/21,12.25,10.25,34.5,13,25,
7/22,12,10.75,30,13,51,
7/23,11,11,30,13,50.75,
7/24,11.25,11,30,16,57.75,
7/25,11.25,11,30,29.75,33,
7/26,11.25,12.25,30,33,27.5,
7/27,13.75,12.25,30,24.5,27.5,
7/28,11.75,12.25,30,24,27.5,
7/29,18,10.75,30,24,32.25,
7/30,19,10.75,30,24,23.75,
7/31,17,10.75,30,23,-4.25,
8/1,17,10.75,30,26.75,5,
8/2,17,12.75,30,26,0,
8/3,16.9,12.25,30,27.25,0,
8/4,16.5,12.75,30,27.5,0,
8/5,16.5,12.5,30,27.5,19.25,
8/6,12,12.75,30,27.5,9.75,
8/7,11.5,12.75,30,28.5,9,
8/8,11.5,12.75,30,32.5,6,
8/9,11.5,12.75,30,38.5,13.75,
8/10,11,12.75,30,38.5,13.75,
8/11,10.25,8.85,30,43.75,13.75,
8/12,10.25,8.75,30,43.75,14.25,
8/13,11.25,9.5,30,43.75,14.25,
8/14,13,9.5,30,42.25,14,
8/15,13,9.5,30,42,15.75,
8/16,13,9.25,30,37.75,15.75,
8/17,18,9.25,30,44,15.75,
8/18,12.5,10,30,37.75,15.75,
8/19,13.75,10.75,30,37.75,15.75,
8/20,13.75,12,30,37.75,14,
8/21,12.25,12,30,36.5,14,
8/22,12.25,12,30,36.25,14,
8/23,12.25,12.5,30,33.25,14,
8/24,15.25,13,29.75,36.25,14,
8/25,6.75,13,37.25,21.75,14,
8/26,4.25,15,37.25,21.75,12.15,
8/27,5.75,13.25,37.25,21.75,18,
8/28,5.5,13.25,37.25,24,13.75,
8/29,5.5,13.25,37.25,26.75,7.75,
8/30,5.5,11,0,27,7.75,
8/31,3.25,5,0,20.25,7.75,
9/1,3.25,5,0,22.25,7.75,
9/2,3.25,5,0,22.25,7.75,
9/3,3.25,5,0,22.25,7.75,
9/4,7.25,5,0,22.25,7.75,
9/5,7.25,5,0,24,7.75,
9/6,7.25,5,0,23.25,7.75,
9/7,7.25,6.75,0,23.25,7.75,
9/8,5.85,2,0,26.25,7.75,
9/9,5.75,2.5,0,26.25,7.75,
9/10,10.25,0.75,0,26.25,7.75,
9/11,12.75,0.75,0,26.25,7.75,
9/12,12.75,0.75,0,22,7.75,
9/13,12.75,0.5,0,20.75,7.75,
9/14,12.5,0.5,0,20.75,7.75,
9/15,8.75,0,0,0,7.75,
9/16,1.75,0,0,0,5,
9/17,0,0,0,0,4,
9/18,0,0,0,4,3,
9/19,0,0,0,4,2.5,
9/20,0,0,0,4,3.5,
9/21,0.5,0,0,2.25,3.5,
9/22,0.5,2,0,1,3.5,
9/23,0.75,2.5,0,1,3.75,
9/24,0.75,2.5,0,1,1,
9/25,0.75,2.5,0,1,1,
9/26,0.75,2.5,0,1,10,
9/27,0.75,2.5,0,1,10,
9/28,1,2.5,0,1,10,
9/29,0,0,0,1,10,
9/30,0.5,0,0,1,10,
10/1,2,0,0,1,10,
10/2,0.25,0,0,1,9,
10/3,0.25,0,0,1,9,
10/4,0.25,0,0,1,9,
10/5,0.25,0,0,1.75,9,
10/6,-1,0,0,1.75,9,
10/7,-1,0,0,1.75,5,
10/8,-1.75,0,0,1.75,4,
10/9,-1,0,0,1.75,4,
10/10,-1,0,0,1.75,4,
10/11,-1,-0.5,0,3.5,4,
10/12,-1,-0.5,0,3.5,4,
10/13,1,0.5,0,3.5,4,
10/14,3.25,0.25,0,3.5,4,
10/15,3.25,3.75,0,3.5,4,
10/16,0,3.75,0,1.5,2,
10/17,0,3.75,0,1.75,2,
10/18,0,4.25,0,1.75,2,
10/19,0,2.5,0,1.75,2,
10/20,2,0.5,0,1.75,2,
10/21,3,0.5,0,1.75,2,
10/22,2.75,0.5,0,1.75,2,
10/23,2.75,0.5,0,1.75,2,
10/24,2.75,0.5,0,1.75,2,
10/25,2.75,0.5,0,1.75,2,
10/26,3.25,0.5,0,1.75,2,
10/27,4.25,0.75,0,1.75,2,
10/28,2,0.75,0,1.75,2,
10/29,2,0.75,0,1.75,2,
10/30,0,0.75,0,1.75,2,
10/31,0,0.75,0,1.75,2,
11/1,0,0.5,0,1.75,2,
11/2,0,1.25,0,1.75,2,
11/3,0.75,1.25,0,1.75,2,
11/4,0.75,1,0,1.75,2,
11/5,1.75,1.5,0,1.75,2,
11/6,6.5,1.5,0,3.5,2,
11/7,6.5,1.5,0,3.5,2,
11/8,6.5,1.5,0,3.5,2,
11/9,9,1.5,0,3.5,2,
11/10,0,1.5,2.5,3.5,2,
11/11,0,0,1,3.5,2,
11/12,-0.25,-0.25,1,3.5,2,
11/13,-0.25,-0.25,1,3.5,2,
11/14,-0.25,-0.25,1,3.5,1,
11/15,-0.25,-0.25,1,3.5,2,
11/16,0.25,0,1,5,2,
11/17,0.5,0,1,5,2,
11/18,-1.75,0,2.25,5,3,
11/19,-0.75,0,2.25,5,3,
11/20,0.5,0,2.25,5,3,
11/21,0.5,0,2.25,5,3,
11/22,0.5,0,2.25,5,3,
11/23,1,0,2.25,5,3,
11/24,1,0,2.25,5,3,
11/25,1.5,0,2.25,5,3,
11/26,1.5,0,2.25,5,3,
11/27,1.5,0,2.25,5,3,
11/28,1.5,0,2.25,5,3,
11/29,1.5,0,0,5,3,
11/30,1.75,0,0,4.75,3,
12/1,2.25,0,0,4.75,3,
12/2,2.75,0,0,4.75,3,
12/3,2.75,0,0,4.75,4.5,
12/4,5.25,0,0,4.75,4.5,
12/5,5.25,0,0,4.75,4.5,
12/6,5.25,0,0,3,4.5,
12/7,0.5,0,0,3,4.5,
12/8,0.25,0,0,3,4.5,
12/9,-0.25,0,0,3,4.5,
12/10,-0.25,0,0,3,4.5,
12/11,-0.5,0,0,0,4.5,
12/12,-0.5,0,0,0,4.5,
12/13,-0.5,0,0,0,4.5,
12/14,-0.5,0,0,0,4.5,
12/15,1.25,0,0,0,4.5,
12/16,2,0,0,0,4.5,
12/17,0.5,0,0,0,4.25,
12/18,1.5,0,0,0,4,
12/19,1.5,0,0,1.75,3.75,
12/20,1.5,0,0,1.75,3.5,
12/21,1.25,0,0,1.75,3.5,
12/22,2,0,0,1.75,3.5,
12/23,2.25,0,0,1.75,2,
12/24,2.25,0,0,1.75,2,
12/25,2.25,0,0,1.75,2,
12/26,2.25,0,0,1.75,2,
12/27,2.25,0,0,3.25,2,
12/28,1.5,0,0,6.25,2,
12/29,1.5,0,0,6.25,2,
12/30,1.5,0,0,6.25,2,
12/31,1.5,0,0,6.25,2,
